1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
ШтрихКод;ЛокальныйКод;Внешний код;Наименование;Полное наименование;ЕдиницаИзмерения;Группа;Группа2;Группа3;Группа4;Группа5;НДС;ЦенаПродажи;Страна;Поставщик;ЦенаЗакупки;Остаток;Производитель;ИНН Производителя;КПП Производителя;Импортер;ИНН Импортера;КПП Ипортера;Табак;Алкоголь;Крепость;Объем;АлкоКод;Вид алкогольной продукции
1099823800200;1515;a0ddc954-5b6b-11e5-8ae2-001e8c783f4c;Пельмени Иркутские по домашнему /Дали/ 0,900 кг.;Пельмени Иркутские по домашнему /Дали/ 0,900 кг.;шт;Пельмени, вареники;Мороженое, замороженные продукты;;;;;220;;;;1;;;;;;;;;;;;;
4607001776475;12;3e6d2ffb-8649-11e4-8ae6-0025222dc009;Максим Gold Mild кофе 150 гр м/уп;Максим Gold Mild кофе 150 гр м/уп;шт;Кофе;;;;;;408;;;;2;;;;;;;;;;;;;
7622210027085;12;3e6d2ffb-8649-11e4-8ae6-0025222dc009;Максим Gold Mild кофе 150 гр м/уп;Максим Gold Mild кофе 150 гр м/уп;шт;Кофе;;;;;;408;;;;2;;;;;;;;;;;;;
4607126129859;14;805a11dd-8654-11e4-8ae6-0025222dc009;Сосиски Классические 480 гр;Сосиски Классические 480 гр;шт;Колбасные изделия ;;;;;;136;;;;3;;;;;;;;;;;;;
4604248004941;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248005405;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248006204;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248006877;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248007034;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248013233;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248013240;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248013257;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248016159;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248017392;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4604248017712;9954;29b98327-7b71-11e4-8ae7-0025222dc009;Джем "Махеев" в ас-те д/п 300 гр;Джем "Махеев" в ас-те д/п 300 гр;шт;Фруктовая;Консервация;;;;;89;;;;2;;;;;;;;;;;;;
4607015490213;734;4c66648a-f852-11e4-8bbc-001e8c783f4c;Экстро-Ситро "Карачинский" 0,5 л;Экстро-Ситро "Карачинский" 0,5 л;шт;Напитки, мин. вода;Безалкогольная продукция;;;;;38;;;;1;;;;;;;;;;;;;
4600682765431;738;a314aa76-f859-11e4-8bbc-001e8c783f4c;Кроненбург Блек 1664 пиво 0,46 л ст ;Кроненбург Блек 1664 пиво 0,46 л ст ;шт;Пиво;Слабоалкогольная продукция;;;;;112;;;;11;;;;;;;;;;;;;
